	W	Reject null hypothesis
Bacteria;Firmicutes;Clostridia;Christensenellales	25	True
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	22	True
Bacteria;Firmicutes;Bacilli;Staphylococcales	19	True
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	17	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales	17	False
Bacteria;Firmicutes;Clostridia;Monoglobales	16	False
Bacteria;Firmicutes;Bacilli;Lactobacillales	9	False
Bacteria;Firmicutes;Bacilli;Bacillales	7	False
;;;	7	False
Bacteria;Bacteroidota;Bacteroidia;	7	False
Bacteria;Firmicutes;Clostridia;Eubacteriales	7	False
Bacteria;Firmicutes;Bacilli;	6	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales	6	False
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group	5	False
Bacteria;Firmicutes;;	5	False
Bacteria;Firmicutes;Clostridia;	5	False
Bacteria;Firmicutes;Clostridia;Oscillospirales	5	False
Bacteria;Firmicutes;Clostridia;Lachnospirales	5	False
Bacteria;Firmicutes;Clostridia;Clostridiales	4	False
Bacteria;Firmicutes;Clostridia;Peptococcales	4	False
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales	3	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	3	False
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales	3	False
Bacteria;Firmicutes;Bacilli;RF39	2	False
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014	2	False
Bacteria;;;	1	False
Bacteria;Firmicutes;Bacilli;Acholeplasmatales	1	False
