"taxon","lfc_(Intercept)","lfc_SexM","se_(Intercept)","se_SexM","W_(Intercept)","W_SexM","p_(Intercept)","p_SexM","q_(Intercept)","q_SexM","diff_(Intercept)","diff_SexM","passed_ss_(Intercept)","passed_ss_SexM"
"[Eubacterium] brachy group",0.224188039138029,-0.359726539910581,0.0534869261846125,0.230443719264979,4.19145490552652,-1.56101689843386,0.00303172101621291,0.157142602472435,0.139459166745794,1,FALSE,FALSE,FALSE,TRUE
"[Eubacterium] nodatum group",0.144575929468961,-0.268387931138554,0.124561923179033,0.198044420534197,1.16067515480763,-1.35519056994696,0.263913637880817,0.195414432696783,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] ventriosum group",-0.0485220834749025,0.114782659409598,0.144578941180921,0.258928219687059,-0.335609619759102,0.443299148885063,0.741525667087928,0.663484951096655,1,1,FALSE,FALSE,TRUE,TRUE
"[Eubacterium] xylanophilum group",-0.233093569811253,0.483925632082299,0.444656796975778,0.529135458976536,-0.524210068071781,0.9145590677637,0.607318858835676,0.374000561346009,1,1,FALSE,FALSE,TRUE,TRUE
"A2",-0.0451572148532044,0.108052922166203,0.277107729170989,0.350308049590531,-0.162959059237717,0.308451154041433,0.872591128898497,0.761718734764555,1,1,FALSE,FALSE,TRUE,TRUE
"Acetatifactor",-0.0416941033070776,0.101126699073949,0.104771742745057,0.193572633119107,-0.39795179706548,0.522422500766028,0.695925147182858,0.608534403566067,1,1,FALSE,FALSE,TRUE,TRUE
"Akkermansia",-0.14430409088259,0.306346674224974,0.550219104494794,0.640846899776781,-0.26226659471428,0.478034105075144,0.796462654312899,0.639091778481925,1,1,FALSE,FALSE,TRUE,TRUE
"Alistipes",0.0661126500266481,-0.114486807593503,0.13906895593351,0.221435292573074,0.475394739126805,-0.517021502142536,0.640930832908285,0.612214276085965,1,1,FALSE,FALSE,TRUE,TRUE
"Anaeroplasma",-0.507090527702269,0.908138185764604,0.168746328579795,0.353642254899112,-3.00504628438467,2.56795723130902,0.00945644742572996,0.0223256580762471,0.416083686732118,0.960003297278627,FALSE,FALSE,FALSE,TRUE
"Anaerotruncus",0.0498822425088457,-0.105669371813471,0.0952883873227725,0.223240401273423,0.523487110133142,-0.473343405632246,0.614822493707671,0.648615225854346,1,1,FALSE,FALSE,TRUE,TRUE
"ASF356",0.0767614301007407,-0.0824005465968435,0.195113450633041,0.335200576089046,0.393419468784392,-0.245824597195662,0.700910083322391,0.809972209294961,1,1,FALSE,FALSE,TRUE,TRUE
"Bacteroides",0.0424257279664132,-0.0671129634730338,0.133282398310764,0.261014678049903,0.318314559942811,-0.257123331049615,0.754363534664346,0.800360903582286,1,1,FALSE,FALSE,TRUE,TRUE
"Bifidobacterium",0.251475215717363,-0.485211938974933,0.182240007747472,0.306653317942834,1.37991223126938,-1.58228171874986,0.186592884327655,0.133149212550825,1,1,FALSE,FALSE,TRUE,TRUE
"Blautia",-0.434588882708079,0.975916833192836,0.186856547642083,0.354421941952405,-2.32578889095456,2.75354518915167,0.0806232719120364,0.0511876612134264,1,1,FALSE,FALSE,TRUE,TRUE
"Clostridium sensu stricto 1",1.13534422684523,-1.86893500894528,0.146493813976645,0.591506697341778,7.75011719625402,-3.15961766340812,3.15961458768694e-06,0.00753089431080648,0.00015482111479666,0.346421138297098,TRUE,FALSE,FALSE,FALSE
"Colidextribacter",-0.335479442220931,0.688697376901655,0.183584223792511,0.24781353146243,-1.82738709944975,2.77909512381112,0.0863526127122692,0.0134068374435906,1,0.589900847517987,FALSE,FALSE,FALSE,TRUE
"Defluviitaleaceae UCG-011",-0.144542661124505,0.231665614229463,0.0877042690847298,0.220487560011882,-1.64806870444202,1.05069698361657,0.133741332969621,0.3207906025618,1,1,FALSE,FALSE,TRUE,TRUE
"Dorea",0.116921815140295,-0.212205994236355,0.0656805340538526,0.215771637865864,1.78015932459423,-0.983474919758802,0.135167181906686,0.370538017686283,1,1,FALSE,FALSE,TRUE,TRUE
"Dubosiella",0.74003620219734,-1.46233391193489,0.19105550837803,0.600982781450976,3.87340940064955,-2.43323761856258,0.00134717832099588,0.0270648329702334,0.0633173810868066,1,FALSE,FALSE,FALSE,TRUE
"Enterorhabdus",0.133586481281421,-0.249434470103048,0.101556231124398,0.219596818313293,1.31539423826972,-1.13587469991111,0.206916679921192,0.272737463327231,1,1,FALSE,FALSE,TRUE,TRUE
"Erysipelatoclostridium",0.786000378357868,-1.95354447795413,0.134075634861436,0.238909391804775,5.86236551607743,-8.17692625307282,5.57058577385808e-05,1.75849631454708e-06,0.00267388117145188,8.61663194128071e-05,TRUE,TRUE,TRUE,TRUE
"Faecalibaculum",-0.0855404488533379,0.18881939016647,0.15587405230379,0.257716208423755,-0.54877927139935,0.732664007907488,0.590733483234641,0.474360915760325,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII AD3011 group",-0.152214702871999,0.232931963189159,0.0624904971705854,0.205797560438611,-2.43580559867345,1.13184997282143,0.0589574426529717,0.309041846400301,1,1,FALSE,FALSE,TRUE,TRUE
"Family XIII UCG-001",0.19203578737461,-0.331681591208189,0.131591327558511,0.233165101741156,1.45933467605776,-1.42251815872685,0.168211412138823,0.17842581234205,1,1,FALSE,FALSE,TRUE,TRUE
"GCA-900066575",-0.550326903613543,0.93165243723728,0.230704759909598,0.304923664786344,-2.38541633830697,3.05536284922351,0.0329724068057994,0.00920450248725271,1,0.414202611926372,FALSE,FALSE,FALSE,TRUE
"HT002",0.464583255627934,-1.09105154136638,0.126173381600467,0.242890913147501,3.68210195950091,-4.49194054741689,0.0142623608086561,0.00644725285554941,0.613281514772212,0.303020884210822,FALSE,FALSE,FALSE,FALSE
"Incertae Sedis",0.108128892891126,-0.198519293322458,0.158848026361104,0.236613668082503,0.680706555618891,-0.839001799563152,0.505789492795244,0.413828392483874,1,1,FALSE,FALSE,TRUE,TRUE
"Intestinimonas",-0.167543881865491,0.332724303127546,0.192395893715128,0.392968973503467,-0.870828782414484,0.846693570134006,0.397570827260358,0.410471346252842,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnoclostridium",-0.158918600740195,0.335575693940182,0.233162238888774,0.304482489175561,-0.681579493736139,1.10211820341068,0.505251692199491,0.286713223991545,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae FCS020 group",0.458947012647695,-0.983736898551759,0.183126719935128,0.260567207974091,2.50617175259992,-3.77536723135774,0.0365885005585276,0.00542390354229471,1,0.260347370030146,FALSE,FALSE,FALSE,FALSE
"Lachnospiraceae NK4A136 group",-0.029613338737922,0.0769651699356375,0.120152911650037,0.21237216795181,-0.24646376297709,0.362407045508439,0.808457407454193,0.721790389360668,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-001",0.376376046368514,-0.742088938915,0.370319073437354,0.584813034848896,1.01635609226103,-1.26893365006261,0.339208779570959,0.240137638642233,1,1,FALSE,FALSE,TRUE,TRUE
"Lachnospiraceae UCG-006",0.137882094263787,-0.258025696067781,0.220876058052274,0.285539676480438,0.624250973508205,-0.903642181178481,0.541262303640294,0.379589608958608,1,1,FALSE,FALSE,TRUE,TRUE
"Lacticaseibacillus",-0.0658506682505277,0.149439828960848,0.180027870126125,0.285408918462036,-0.365780410579727,0.523599016338119,0.719320015442303,0.607734240021912,1,1,FALSE,FALSE,TRUE,TRUE
"Lactiplantibacillus",0.104231675863724,-0.190724859267655,0.138542027209297,0.269623989002042,0.752346980647687,-0.707373479539357,0.462768062081681,0.489510395016053,1,1,FALSE,FALSE,TRUE,TRUE
"Lactobacillus",0.339671837040342,-0.661605181620891,0.149764933505652,0.301291446244816,2.26803317097939,-2.19589765944865,0.0375267144737536,0.0431885205950538,1,1,FALSE,FALSE,FALSE,TRUE
"Limosilactobacillus",0.0545135920225407,-0.0621488750738598,0.165469799057317,0.285267933124176,0.329447381534909,-0.217861413279868,0.747065293596509,0.830919496529592,1,1,FALSE,FALSE,TRUE,TRUE
"Marvinbryantia",0.11999801868788,-0.222257544915967,0.340555623492577,0.422065477162317,0.352359527812924,-0.526594940695639,0.729167132708298,0.605698998966733,1,1,FALSE,FALSE,TRUE,TRUE
"Monoglobus",-0.162637769837282,0.343014032134357,0.367812708632771,0.488451381748899,-0.442175504054325,0.702248053647011,0.664280813055886,0.492615097795613,1,1,FALSE,FALSE,TRUE,TRUE
"NK4A214 group",0.0832542358604788,-0.12670862150113,0.0674589737821864,0.216961639341034,1.23414619572027,-0.584013938528376,0.256971159671824,0.577537473069873,1,1,FALSE,FALSE,TRUE,TRUE
"Oscillibacter",-0.0708755541209231,0.159489600701639,0.131399348462158,0.238802081113376,-0.539390453228423,0.667873579484922,0.597044411500022,0.513733635414523,1,1,FALSE,FALSE,TRUE,TRUE
"Parasutterella",-0.184294566253202,0.504147559123141,0.215406402119001,0.379476206958369,-0.855566800430511,1.32853535973719,0.408995787441733,0.208713094779836,1,1,FALSE,FALSE,TRUE,TRUE
"Romboutsia",0.394628299831801,-0.634408463922895,0.128397020171284,0.261033413124303,3.07350045433577,-2.43037263440597,0.00888876817958049,0.0303097008879599,0.399994568081122,1,FALSE,FALSE,FALSE,FALSE
"Roseburia",-0.067397650307523,0.152533793074839,0.314206907865062,0.523130103662498,-0.214500854756724,0.291579077569674,0.832866440590336,0.774354852844995,1,1,FALSE,FALSE,TRUE,TRUE
"Ruminococcus",-0.391296062183672,0.800330616827137,0.427197480736382,0.507545192605012,-0.915960603300317,1.5768657224776,0.373287086074423,0.134390536459766,1,1,FALSE,FALSE,TRUE,TRUE
"Turicibacter",0.272634435983093,-0.527530379506393,0.133231445459527,0.301839806222944,2.04632198534477,-1.74771639999248,0.0575221231075853,0.0996734765881855,1,1,FALSE,FALSE,TRUE,TRUE
"Tuzzerella",-0.163333671912037,0.328371897796779,0.223452568236522,0.347907410071352,-0.730954552015487,0.943848530646223,0.476070689640647,0.360202566954326,1,1,FALSE,FALSE,TRUE,TRUE
"UCG-005",0.199507214334686,-0.466318069711765,0.18530330971649,0.270981911836606,1.07665219061617,-1.72084574409875,0.301210594513678,0.108975118485524,1,1,FALSE,FALSE,TRUE,FALSE
"UCG-009",-0.243262497135634,0.493895775218861,0.10768775210409,0.203546215139595,-2.25896160317747,2.42645521499941,0.0392068406037199,0.0283199519469079,1,1,FALSE,FALSE,FALSE,FALSE
